##############################
##.......#       #..........##
.........#       #..........# 
##.......#  ######.########.# 
 #.......#  #......########.##
 #.......#  #......##....#...#
 ####.#######......##....#...#
    #..............##........#
    ######.##########....#...#
     #####.####...###....#...#
     #..........#.#####.######
     ##########...#   #.#     
             ##########.#     
########     #..........#     
#......#     #......#####     
#......#     #......#         
#......#######......#         
#...................#         
#......##############         
########                      
                              
                              
                              
