##############################
##.......#       #..........##
.........#       #..........# 
##.......#  ######.########.# 
 #.......#  #......########.##
 #.......#  #......##....#...#
 ####.#######......##....#...#
    #..............##........#
    ######.##########....#...#
     #####.####...###....#...#
     #..........#.#####.######
     ##########...#   #.#     
             ##########.#     
########     #..........#     
#......#     #......#####     
#......#     #......#         
#......#######......#         
#...................#         
#......#######.######         
########     #.#              
                              
                              
                              
